title,text,date,fake_or_factual
"Experts Claim Earth's Rotation Is Being Controlled Remotely","Astronomers said the idea is scientifically impossible.",07-Apr-16,Fake News
"U.S. Manufacturing Output Rises in April","Analysts attributed the increase to stronger industrial demand.",13-Apr-16,Factual News
"New Study Says Mountains Are Alive and Growing","Geologists said the claim is entirely fictional.",19-Apr-16,Fake News
"Federal Court Blocks Controversial Trade Regulation","The ruling temporarily halts implementation nationwide.",25-Apr-16,Factual News
"Experts Claim Earth's Oceans Are Evaporating Rapidly","Scientists said the claim misrepresents basic climate science.",01-May-16,Fake News
"U.S. Retail Sales Increase in May","Economists attributed the rise to strong consumer spending.",07-May-16,Factual News
"Experts Claim Earth's Atmosphere Is Filled with Hidden Creatures","Researchers said no evidence supports the extraordinary claim.",30-May-15,Fake News
"U.S. Jobless Claims Fall in Late May","Analysts attributed the decline to steady hiring.",05-Jun-15,Factual News
"New Study Says Oceans Are Draining into Space","Scientists said the idea is physically impossible.",05-Jul-15,Fake News
"Congress Approves Funding for Renewable Energy Research","The measure aims to accelerate innovation.",11-Jul-15,Factual News
"Experts Claim Earth's Atmosphere Is Shrinking Faster Than Expected","Researchers said the claim is exaggerated and misleading.",17-Jul-15,Fake News
"U.S. Manufacturing Activity Expands in July","Analysts reported gains across multiple industries.",23-Jul-15,Factual News
"New Report Says Humans Are Developing New Senses","Medical experts said the claim is unsupported by evidence.",29-Jul-15,Fake News
"Federal Court Upholds Key Financial Regulations","Officials praised the ruling as a major victory.",04-Aug-15,Factual News
"Experts Claim Earth's Oceans Are Heating at Extreme Speed","Scientists said the claim exaggerates normal fluctuations.",10-Aug-15,Fake News
"U.S. Retail Sales Rise in August","Economists attributed the increase to strong consumer spending.",16-Aug-15,Factual News
"New Study Says Volcanoes Are Controlled by Secret Levers","Geologists dismissed the idea as pure fiction.",22-Aug-15,Fake News
"Federal Agencies Announce New Water Safety Standards","Officials said the rules aim to reduce contamination risks.",28-Aug-15,Factual News
"Experts Claim Earth's Rotation Is Speeding Up Rapidly","Astronomers said the claim is unsupported by data.",03-Sep-15,Fake News
"U.S. Housing Starts Increase in September","Builders reported strong demand across several states.",09-Sep-15,Factual News
"New Report Says Oceans Are Filled with Invisible Machines","Scientists said the claim has no scientific basis.",15-Sep-15,Fake News
"Congress Approves Funding for National Parks","The measure ensures continued operation through the fiscal year.",21-Sep-15,Factual News
"Experts Claim Earth's Core Is Cooling at Dangerous Speed","Geophysicists said the claim is exaggerated and misleading.",27-Sep-15,Fake News
"U.S. Job Growth Remains Strong in September","Economists reported gains across multiple sectors.",03-Oct-15,Factual News
"New Study Says Humans Can Communicate with Animals Telepathically","Researchers said no evidence supports the claim.",09-Oct-15,Fake News
"Federal Court Blocks Controversial Immigration Rule","The ruling temporarily halts implementation nationwide.",15-Oct-15,Factual News
"Experts Claim Earth's Atmosphere Is Filled with Hidden Portals","Scientists said the idea has no scientific basis.",21-Oct-15,Fake News
"U.S. Retail Sales Rise in October","Analysts attributed the increase to strong consumer spending.",27-Oct-15,Factual News
"New Report Says Mountains Are Artificial Structures","Geologists rejected the theory as pure fiction.",02-Nov-15,Fake News
"Federal Agencies Release Updated Economic Forecast","Officials predicted steady growth through the end of the year.",08-Nov-15,Factual News
"Experts Claim Earth's Oceans Are Turning Solid","Researchers said the idea contradicts all known data.",14-Nov-15,Fake News
"U.S. Construction Spending Rises in November","Analysts attributed the increase to commercial development.",20-Nov-15,Factual News
"New Study Says Humans Can Control Gravity","Physicists said the claim is entirely fictional.",26-Nov-15,Fake News
"Congress Extends Funding for Education Programs","The extension ensures continued support for schools nationwide.",02-Dec-15,Factual News
"Experts Claim Earth's Rotation Is Being Manipulated","Astronomers said the idea is scientifically impossible.",08-Dec-15,Fake News
"U.S. Manufacturing Ends Year on Positive Note","Officials reported gains across multiple industries.",14-Dec-15,Factual News
"New Report Says Oceans Are Filled with Hidden Creatures","Scientists said the claim lacks empirical support.",20-Dec-15,Fake News
"Federal Court Upholds Key Healthcare Regulations","Officials praised the ruling as a major victory.",26-Dec-15,Factual News
"Experts Claim Earth's Atmosphere Is Disappearing","Researchers said the claim is exaggerated and misleading.",27-Dec-16,Fake News
"U.S. Retail Sales Rise in Late December","Economists attributed the increase to strong holiday demand.",31-Dec-16,Factual News
"New Study Says Mountains Are Alive and Growing","Geologists said the claim is entirely fictional.",06-Jan-16,Fake News
"Federal Court Upholds Key Environmental Rules","Officials praised the ruling as a major victory.",12-Jan-16,Factual News
"Experts Claim Earth's Oceans Are Controlled by Secret Machines","Researchers dismissed the idea as pure fiction.",18-Jan-16,Fake News
"U.S. Consumer Spending Rises in January","Economists attributed the increase to strong household confidence.",24-Jan-16,Factual News
"New Report Says Humans Can Absorb Energy from Stars","Medical experts said the claim has no scientific basis.",30-Jan-16,Fake News
"Congress Approves Funding for Rural Development","The measure aims to support underserved communities.",05-Feb-16,Factual News
"Experts Claim Earth's Core Is Melting Faster Than Expected","Geophysicists said the claim is unsupported by data.",11-Feb-16,Fake News
"U.S. Job Growth Remains Strong in February","Economists reported gains across multiple sectors.",17-Feb-16,Factual News
"New Study Says Oceans Are Filled with Hidden Cities","Scientists said no evidence supports the extraordinary claim.",23-Feb-16,Fake News
"Federal Agencies Announce New Air Quality Standards","Officials said the rules aim to reduce long-term health risks.",29-Feb-16,Factual News
"Experts Claim Earth's Atmosphere Is Filled with Secret Messages","Researchers said the idea is entirely fictional.",07-Mar-16,Fake News
"U.S. Housing Market Shows Early Spring Growth","Realtors reported increased demand across major cities.",13-Mar-16,Factual News
"New Report Says Humans Can Control the Weather","Meteorologists dismissed the claim as pseudoscience.",19-Mar-16,Fake News
"Congress Approves Funding for Clean Water Programs","The measure aims to improve access in rural regions.",25-Mar-16,Factual News
"Experts Claim Earth's Rotation Is Slowing to a Stop","Astronomers said the prediction is physically impossible.",31-Mar-16,Fake News
"U.S. Manufacturing Output Rises in April","Analysts attributed the increase to stronger industrial demand.",06-Apr-16,Factual News
"New Study Says Volcanoes Are Artificially Constructed","Geologists rejected the theory as pure fiction.",12-Apr-16,Fake News
"Federal Court Blocks Controversial Labor Rule","The ruling temporarily halts implementation nationwide.",18-Apr-16,Factual News
"Experts Claim Earth's Oceans Are Evaporating Rapidly","Scientists said the claim misrepresents basic climate science.",24-Apr-16,Fake News
"U.S. Retail Sales Increase in April","Economists attributed the rise to strong consumer spending.",30-Apr-16,Factual News
"New Report Says Humans Can Absorb Light for Strength","Medical experts dismissed the claim as pseudoscience.",13-May-16,Fake News
"Federal Agencies Release Updated Climate Assessment","Officials highlighted long-term environmental risks.",12-Jun-16,Factual News
"Experts Claim Earth's Core Is Cooling Faster Than Expected","Geophysicists said the claim is unsupported by data.",18-Jun-16,Fake News
"U.S. Consumer Confidence Rises in June","Economists attributed the gain to strong labor markets.",24-Jun-16,Factual News
"New Study Says Volcanoes Are Controlled by Hidden Levers","Geologists dismissed the idea as pure fiction.",30-Jun-16,Fake News
"Congress Approves Funding for Renewable Energy Projects","The measure aims to accelerate innovation.",06-Jul-16,Factual News
"Experts Claim Earth's Atmosphere Is Filled with Hidden Creatures","Researchers said no evidence supports the extraordinary claim.",12-Jul-16,Fake News
"U.S. Manufacturing Activity Expands in July","Analysts reported gains across multiple industries.",18-Jul-16,Factual News
"New Report Says Humans Are Developing New Organs","Medical experts said the claim is unsupported by evidence.",17-Jul-17,Fake News
"Federal Court Upholds Key Financial Regulations","Officials praised the ruling as a major victory.",16-Aug-17,Factual News
"Experts Claim Earth's Rotation Is Speeding Up Rapidly","Astronomers said the claim is unsupported by data.",22-Aug-17,Fake News
"U.S. Housing Starts Increase in September","Builders reported strong demand across several states.",28-Aug-17,Factual News
"New Study Says Oceans Are Filled with Invisible Machines","Scientists said the claim has no scientific basis.",03-Sep-17,Fake News
"Federal Agencies Announce New Cybersecurity Standards","Officials said the rules aim to strengthen national defenses.",09-Sep-17,Factual News
"Experts Claim Earth's Core Is Cooling at Dangerous Speed","Geophysicists said the claim is unsupported by data.",15-Sep-17,Fake News
"U.S. Job Growth Remains Strong in September","Economists reported gains across multiple sectors.",21-Sep-17,Factual News
"New Report Says Humans Can Control Weather with Thoughts","Meteorologists dismissed the claim as pseudoscience.",27-Sep-17,Fake News
"Congress Approves Funding for National Parks","The measure ensures continued operation through the fiscal year.",03-Oct-17,Factual News
"Experts Claim Earth's Atmosphere Is Filled with Hidden Portals","Scientists said the idea has no scientific basis.",09-Oct-17,Fake News
"U.S. Retail Sales Rise in October","Analysts attributed the increase to strong consumer spending.",15-Oct-17,Factual News
"New Study Says Volcanoes Are Artificial Structures","Geologists rejected the theory as pure fiction.",21-Oct-17,Fake News
"Federal Court Blocks Controversial Immigration Rule","The ruling temporarily halts implementation nationwide.",27-Oct-17,Factual News
"Experts Claim Earth's Oceans Are Turning Solid","Researchers said the idea contradicts all known data.",02-Nov-17,Fake News
"U.S. Construction Spending Rises in November","Analysts attributed the increase to commercial development.",08-Nov-17,Factual News
"New Report Says Humans Can Communicate Telepathically","Researchers said no evidence supports the claim.",14-Nov-17,Fake News
"Federal Agencies Release Updated Economic Forecast","Officials predicted steady growth through the end of the year.",20-Nov-17,Factual News
"Experts Claim Earth's Rotation Is Being Manipulated","Astronomers said the idea is scientifically impossible.",26-Nov-17,Fake News
"U.S. Manufacturing Ends Year on Positive Note","Officials reported gains across multiple industries.",02-Dec-17,Factual News
"New Report Says Oceans Are Filled with Hidden Creatures","Scientists said the claim lacks empirical support.",08-Dec-17,Fake News
"Federal Court Upholds Key Healthcare Regulations","Officials praised the ruling as a major victory.",14-Dec-17,Factual News
"Experts Claim Earth's Atmosphere Is Disappearing","Researchers said the claim is exaggerated and misleading.",20-Dec-17,Fake News
"U.S. Retail Sales Rise in Late December","Economists attributed the increase to strong holiday demand.",26-Dec-17,Factual News
"Experts Claim Earth's Atmosphere Contains Hidden Creatures","Researchers said no evidence supports the extraordinary claim.",12-Jul-16,Fake News
"U.S. Manufacturing Activity Expands in July","Analysts reported gains across multiple industries.",18-Jul-16,Factual News
"New Report Says Humans Are Developing New Organs","Medical experts said the claim is unsupported by evidence.",17-Jul-17,Fake News
"Federal Court Upholds Key Financial Regulations","Officials praised the ruling as a major victory.",16-Aug-17,Factual News
"Experts Claim Earth's Rotation Is Speeding Up Rapidly","Astronomers said the claim is unsupported by data.",22-Aug-17,Fake News
"U.S. Housing Starts Increase in September","Builders reported strong demand across several states.",28-Aug-17,Factual News
"New Study Says Oceans Are Filled with Invisible Machines","Scientists said the claim has no scientific basis.",03-Sep-17,Fake News
"Federal Agencies Announce New Cybersecurity Standards","Officials said the rules aim to strengthen national defenses.",09-Sep-17,Factual News
"Experts Claim Earth's Core Is Cooling at Dangerous Speed","Geophysicists said the claim is unsupported by data.",15-Sep-17,Fake News
"U.S. Job Growth Remains Strong in September","Economists reported gains across multiple sectors.",21-Sep-17,Factual News
"New Report Says Humans Can Control Weather with Thoughts","Meteorologists dismissed the claim as pseudoscience.",27-Sep-17,Fake News
"Congress Approves Funding for National Parks","The measure ensures continued operation through the fiscal year.",03-Oct-17,Factual News
"Experts Claim Earth's Atmosphere Is Filled with Hidden Portals","Scientists said the idea has no scientific basis.",09-Oct-17,Fake News
"U.S. Retail Sales Rise in October","Analysts attributed the increase to strong consumer spending.",15-Oct-17,Factual News
"New Study Says Volcanoes Are Artificial Structures","Geologists rejected the theory as pure fiction.",21-Oct-17,Fake News
"Federal Court Blocks Controversial Immigration Rule","The ruling temporarily halts implementation nationwide.",27-Oct-17,Factual News
"Experts Claim Earth's Oceans Are Turning Solid","Researchers said the idea contradicts all known data.",02-Nov-17,Fake News
"U.S. Construction Spending Rises in November","Analysts attributed the increase to commercial development.",08-Nov-17,Factual News
"New Report Says Humans Can Communicate Telepathically","Researchers said no evidence supports the claim.",14-Nov-17,Fake News
"Federal Agencies Release Updated Economic Forecast","Officials predicted steady growth through the end of the year.",20-Nov-17,Factual News
"Experts Claim Earth's Rotation Is Being Manipulated","Astronomers said the idea is scientifically impossible.",26-Nov-17,Fake News
"U.S. Manufacturing Ends Year on Positive Note","Officials reported gains across multiple industries.",02-Dec-17,Factual News
"New Report Says Oceans Are Filled with Hidden Creatures","Scientists said the claim lacks empirical support.",08-Dec-17,Fake News
"Federal Court Upholds Key Healthcare Regulations","Officials praised the ruling as a major victory.",14-Dec-17,Factual News
"Experts Claim Earth's Atmosphere Is Disappearing","Researchers said the claim is exaggerated and misleading.",20-Dec-17,Fake News
"U.S. Retail Sales Rise in Late December","Economists attributed the increase to strong holiday demand.",26-Dec-17,Factual News
"New Study Says Mountains Are Alive and Growing","Geologists said the claim is entirely fictional.",06-Jan-15,Fake News
"Federal Court Upholds Key Environmental Rules","Officials praised the ruling as a major victory.",12-Jan-15,Factual News
"Experts Claim Earth's Oceans Are Controlled by Secret Machines","Researchers dismissed the idea as pure fiction.",18-Jan-15,Fake News
"U.S. Consumer Spending Rises in January","Economists attributed the increase to strong household confidence.",24-Jan-15,Factual News
"New Report Says Humans Can Absorb Energy from Stars","Medical experts said the claim has no scientific basis.",30-Jan-15,Fake News
"Congress Approves Funding for Rural Development","The measure aims to support underserved communities.",05-Feb-15,Factual News
"Experts Claim Earth's Core Is Melting Faster Than Expected","Geophysicists said the claim is unsupported by data.",11-Feb-15,Fake News
"U.S. Job Growth Remains Strong in February","Economists reported gains across multiple sectors.",17-Feb-15,Factual News
"New Study Says Oceans Are Filled with Hidden Cities","Scientists said no evidence supports the extraordinary claim.",23-Feb-15,Fake News
"Federal Agencies Announce New Air Quality Standards","Officials said the rules aim to reduce long-term health risks.",01-Mar-15,Factual News
"Experts Claim Earth's Atmosphere Is Filled with Secret Messages","Researchers said the idea is entirely fictional.",07-Mar-15,Fake News
"U.S. Housing Market Shows Early Spring Growth","Realtors reported increased demand across major cities.",13-Mar-15,Factual News
"New Report Says Humans Can Control the Weather","Meteorologists dismissed the claim as pseudoscience.",19-Mar-15,Fake News
"Congress Approves Funding for Clean Water Programs","The measure aims to improve access in rural regions.",25-Mar-15,Factual News
"Experts Claim Earth's Rotation Is Slowing to a Stop","Astronomers said the prediction is physically impossible.",31-Mar-15,Fake News
"U.S. Manufacturing Output Rises in April","Analysts attributed the increase to stronger industrial demand.",06-Apr-15,Factual News
"New Study Says Volcanoes Are Artificially Constructed","Geologists rejected the theory as pure fiction.",12-Apr-15,Fake News
"Federal Court Blocks Controversial Labor Rule","The ruling temporarily halts implementation nationwide.",18-Apr-15,Factual News
"Experts Claim Earth's Oceans Are Evaporating Rapidly","Scientists said the claim misrepresents basic climate science.",24-Apr-15,Fake News
"U.S. Retail Sales Increase in April","Economists attributed the rise to strong consumer spending.",30-Apr-15,Factual News
"New Report Says Humans Can Absorb Light for Strength","Medical experts dismissed the claim as pseudoscience.",13-May-15,Fake News
"Federal Agencies Release Updated Climate Assessment","Officials highlighted long-term environmental risks.",17-Jun-15,Factual News
"Experts Claim Earth's Core Is Cooling Faster Than Expected","Geophysicists said the claim is unsupported by data.",23-Jun-15,Fake News
"U.S. Consumer Confidence Rises in June","Economists attributed the gain to strong labor markets.",29-Jun-15,Factual News
"New Study Says Volcanoes Are Controlled by Hidden Levers","Geologists dismissed the idea as pure fiction.",30-Jun-16,Fake News
"Congress Approves Funding for Renewable Energy Projects","The measure aims to accelerate innovation.",06-Jul-16,Factual News
"Experts Claim Earth's Atmosphere Is Filled with Hidden Creatures","Researchers said no evidence supports the extraordinary claim.",12-Jul-16,Fake News
"U.S. Manufacturing Activity Expands in July","Analysts reported gains across multiple industries.",18-Jul-16,Factual News
"New Report Says Humans Are Developing New Senses","Medical experts said the claim is unsupported by evidence.",29-Jul-15,Fake News
"Federal Court Upholds Key Financial Regulations","Officials praised the ruling as a major victory.",04-Aug-15,Factual News
"Experts Claim Earth's Oceans Are Heating at Extreme Speed","Scientists said the claim exaggerates normal fluctuations.",10-Aug-15,Fake News
"U.S. Retail Sales Rise in August","Economists attributed the increase to strong consumer spending.",16-Aug-15,Factual News
"New Study Says Volcanoes Are Controlled by Secret Levers","Geologists dismissed the idea as pure fiction.",22-Aug-15,Fake News
"Federal Agencies Announce New Water Safety Standards","Officials said the rules aim to reduce contamination risks.",28-Aug-15,Factual News
"Experts Claim Earth's Rotation Is Speeding Up Rapidly","Astronomers said the claim is unsupported by data.",03-Sep-15,Fake News
"U.S. Housing Starts Increase in September","Builders reported strong demand across several states.",09-Sep-15,Factual News
"New Report Says Oceans Are Filled with Invisible Machines","Scientists said the claim has no scientific basis.",15-Sep-15,Fake News
"Congress Approves Funding for National Parks","The measure ensures continued operation through the fiscal year.",21-Sep-15,Factual News
"Experts Claim Earth's Core Is Cooling at Dangerous Speed","Geophysicists said the claim is exaggerated and misleading.",27-Sep-15,Fake News
"U.S. Job Growth Remains Strong in September","Economists reported gains across multiple sectors.",03-Oct-15,Factual News
"New Study Says Humans Can Communicate with Animals Telepathically","Researchers said no evidence supports the claim.",09-Oct-15,Fake News
"Federal Court Blocks Controversial Immigration Rule","The ruling temporarily halts implementation nationwide.",15-Oct-15,Factual News
"Experts Claim Earth's Atmosphere Is Filled with Hidden Portals","Scientists said the idea has no scientific basis.",21-Oct-15,Fake News
"U.S. Retail Sales Rise in October","Analysts attributed the increase to strong consumer spending.",27-Oct-15,Factual News
"New Report Says Mountains Are Artificial Structures","Geologists rejected the theory as pure fiction.",02-Nov-15,Fake News
"Federal Agencies Release Updated Economic Forecast","Officials predicted steady growth through the end of the year.",08-Nov-15,Factual News
"Experts Claim Earth's Oceans Are Turning Solid","Researchers said the idea contradicts all known data.",14-Nov-15,Fake News
"U.S. Construction Spending Rises in November","Analysts attributed the increase to commercial development.",20-Nov-15,Factual News
"New Study Says Humans Can Control Gravity","Physicists said the claim is entirely fictional.",26-Nov-15,Fake News
"Congress Extends Funding for Education Programs","The extension ensures continued support for schools nationwide.",02-Dec-15,Factual News
"Experts Claim Earth's Rotation Is Being Manipulated","Astronomers said the idea is scientifically impossible.",08-Dec-15,Fake News
"U.S. Manufacturing Ends Year on Positive Note","Officials reported gains across multiple industries.",14-Dec-15,Factual News
"New Report Says Oceans Are Filled with Hidden Creatures","Scientists said the claim lacks empirical support.",20-Dec-15,Fake News
"Federal Court Upholds Key Healthcare Regulations","Officials praised the ruling as a major victory.",26-Dec-15,Factual News
"Experts Claim Earth's Atmosphere Contains Hidden Creatures","Researchers said no evidence supports the extraordinary claim.",30-May-15,Fake News
"U.S. Jobless Claims Fall in Late May","Analysts attributed the decline to steady hiring.",05-Jun-15,Factual News
"New Study Says Oceans Are Draining into Space","Scientists said the idea is physically impossible.",05-Jul-15,Fake News
"Congress Approves Funding for Renewable Energy Research","The measure aims to accelerate innovation.",11-Jul-15,Factual News
"Experts Claim Earth's Atmosphere Is Shrinking Faster Than Expected","Researchers said the claim is exaggerated and misleading.",17-Jul-15,Fake News
